record_id,tag_number,owner,tag_color,group_name,calf_wt_2024,ww_2023,calf_2022,purchase_price,birth_weight,yearling_weight,rog,dam_tag,dam_color,sire,birth_year
1,1,M77,Yellow,SPRING,31,730,0,,,,,,,,
2,2,M77,Blue,SPRING,31,750,0,,,,,,,,
3,7,M77,Green,SPRING,31,,0,,,,,,,,2011
4,12,M77,Green,SPRING,31,,0,,,,,,,,
5,13,M77,Green,SPRING,31,,0,,,,,,,,
6,24,M77,Green,SPRING,31,798,0,,,,,,,,
7,28,M77,Blue,SPRING,31,1010,0,,,,,,,,
8,36,M77,Blue,SPRING,31,,0,,,,,,,,
9,39,Gage,White,SPRING,31,,0,,,,,,,,2022
10,45,M77,Green,SPRING,31,,0,,,,,,,,
11,55,M77,Blue,SPRING,31,,0,,,,,,,,
12,75,M77,Blue,SPRING,31,,0,,,,,,,,
13,84,M77,Purple,SPRING,31,,0,,,,,,,,
14,88,M77,Blue,SPRING,31,,0,,,,,,,,
15,94,M77,Purple,SPRING,31,,0,,,,,,,,
16,95,M77,Purple,SPRING,31,,0,,,,,,,,
17,104,M77,Purple,SPRING,31,,0,,,,,,,,
18,110,M77,Blue,SPRING,31,,0,,,,,,,,
19,113,M77,Green,SPRING,31,,0,,,,,,,,
20,1032,M77,Green,SPRING,31,,0,,,,,,,,2011
21,2201,M77,Red,SPRING,31,,0,,,,,,,,2022
22,2203,M77,Red,SPRING,31,,0,,,,,,,,2022
23,2206,M77,Red,SPRING,31,,0,,,,,,,,2022
24,2210,M77,Red,SPRING,31,,0,,,,,,,,2022
25,2214,M77,Red,SPRING,31,,0,,,,,,,,2022
26,2215,M77,Red,SPRING,31,,0,,,,,,,,2022
27,2316,M77,Orange,SPRING,31,,0,,,1140,,2,Blue,,2023
28,2317,M77,Orange,SPRING,31,,0,,,1080,,6080,Green,,2023
29,2318,M77,Orange,SPRING,31,,0,,,1032,,912,Green,,2023
30,2319,M77,Orange,SPRING,31,,0,,,970,,12,Green,,2023
31,2321,M77,Orange,SPRING,31,,0,,,1195,,62,Green,,2023
32,2322,M77,Orange,SPRING,31,,0,,,1024,,94,Purple,,2023
33,2324,M77,Orange,SPRING,31,,0,,,990,,84,Purple,,2023
34,2325,M77,Orange,SPRING,31,,0,,,1062,,9,Green,,2023
35,2426,M77,Yellow,SPRING,31,,0,,,1014,,NT,,,2023
36,2427,M77,Yellow,SPRING,31,,0,,,,,,,,2024
37,2428,M77,Yellow,SPRING,31,,0,,,,,,,,2024
38,2429,M77,Yellow,SPRING,31,,0,,,,,,,,2024
39,2430,M77,Yellow,SPRING,31,,0,,,,,,,,2024
40,2431,M77,Yellow,SPRING,31,,0,,,,,,,,2024
41,2432,M77,Yellow,SPRING,31,,0,,,,,,,,2024
42,6059,M77,Green,SPRING,31,,0,,,,,,,,2016
43,6064,M77,Green,SPRING,31,730,0,,,,,,,,2016
44,6069,M77,Green,SPRING,31,830,0,,,,,,,,2016
45,6070,M77,Yellow,SPRING,31,,0,,,,,,,,2016
46,6072,M77,Green,SPRING,31,770,0,,,,,,,,2016
47,6078,M77,Green,SPRING,31,,0,,,,,,,,2016
48,6084,M77,Green,SPRING,31,,0,,,,,,,,2016
49,6085,M77,Yellow,SPRING,31,,0,,,,,,,,2016
50,6086,M77,Yellow,SPRING,31,802,0,,,,,,,,2016
