tagNumber,type,birthDate,name,breed,damTag,owner,tagColor,calvingGroup,weight,weaningWeight
1,cow,2015-01-01,1,Angus,,M77,Yellow,SPRING,1200,730
2,cow,2015-01-01,2,Angus,,M77,Blue,SPRING,1200,750
7,cow,2011-01-01,7,Angus,,M77,Green,SPRING,1300,
12,cow,2015-01-01,12,Angus,,M77,Green,SPRING,1200,
13,cow,2015-01-01,13,Angus,,M77,Green,SPRING,1200,
24,cow,2015-01-01,24,Angus,,M77,Green,SPRING,1200,798
28,cow,2015-01-01,28,Angus,,M77,Blue,SPRING,1200,1010
36,cow,2015-01-01,36,Angus,,M77,Blue,SPRING,1200,
39,cow,2022-01-01,39,Angus,,Gage,White,SPRING,1100,
45,cow,2015-01-01,45,Angus,,M77,Green,SPRING,1200,
55,cow,2015-01-01,55,Angus,,M77,Blue,SPRING,1200,
75,cow,2015-01-01,75,Angus,,M77,Blue,SPRING,1200,
84,cow,2015-01-01,84,Angus,,M77,Purple,SPRING,1200,
88,cow,2015-01-01,88,Angus,,M77,Blue,SPRING,1200,
94,cow,2015-01-01,94,Angus,,M77,Purple,SPRING,1200,
95,cow,2015-01-01,95,Angus,,M77,Purple,SPRING,1200,
104,cow,2015-01-01,104,Angus,,M77,Purple,SPRING,1200,
110,cow,2015-01-01,110,Angus,,M77,Blue,SPRING,1200,
113,cow,2015-01-01,113,Angus,,M77,Green,SPRING,1200,
1032,cow,2011-01-01,1032,Angus,,M77,Green,SPRING,1300,
2201,heifer,2022-01-01,2201,Angus,,M77,Red,SPRING,1000,
2203,heifer,2022-01-01,2203,Angus,,M77,Red,SPRING,1000,
2206,heifer,2022-01-01,2206,Angus,,M77,Red,SPRING,1000,
2210,heifer,2022-01-01,2210,Angus,,M77,Red,SPRING,1000,
2214,heifer,2022-01-01,2214,Angus,,M77,Red,SPRING,1000,
2215,heifer,2022-01-01,2215,Angus,,M77,Red,SPRING,1000,
2316,heifer,2023-01-01,2316,Angus,2,M77,Orange,SPRING,1140,
2317,heifer,2023-01-01,2317,Angus,6080,M77,Orange,SPRING,1080,
2318,heifer,2023-01-01,2318,Angus,912,M77,Orange,SPRING,1032,
2319,heifer,2023-01-01,2319,Angus,12,M77,Orange,SPRING,970,
2321,heifer,2023-01-01,2321,Angus,62,M77,Orange,SPRING,1195,
2322,heifer,2023-01-01,2322,Angus,94,M77,Orange,SPRING,1024,
2324,heifer,2023-01-01,2324,Angus,84,M77,Orange,SPRING,990,
2325,heifer,2023-01-01,2325,Angus,9,M77,Orange,SPRING,1062,
2426,heifer,2023-01-01,2426,Angus,,M77,Yellow,SPRING,1014,
2427,calf,2024-01-01,2427,Angus,,M77,Yellow,SPRING,600,
2428,calf,2024-01-01,2428,Angus,,M77,Yellow,SPRING,600,
2429,calf,2024-01-01,2429,Angus,,M77,Yellow,SPRING,600,
2430,calf,2024-01-01,2430,Angus,,M77,Yellow,SPRING,600,
2431,calf,2024-01-01,2431,Angus,,M77,Yellow,SPRING,600,
2432,calf,2024-01-01,2432,Angus,,M77,Yellow,SPRING,600,
6059,cow,2016-01-01,6059,Angus,,M77,Green,SPRING,1250,
6064,cow,2016-01-01,6064,Angus,,M77,Green,SPRING,1250,730
6069,cow,2016-01-01,6069,Angus,,M77,Green,SPRING,1250,830
6070,cow,2016-01-01,6070,Angus,,M77,Yellow,SPRING,1250,
6072,cow,2016-01-01,6072,Angus,,M77,Green,SPRING,1250,770
6078,cow,2016-01-01,6078,Angus,,M77,Green,SPRING,1250,
6084,cow,2016-01-01,6084,Angus,,M77,Green,SPRING,1250,
6085,cow,2016-01-01,6085,Angus,,M77,Yellow,SPRING,1250,
6086,cow,2016-01-01,6086,Angus,,M77,Yellow,SPRING,1250,802
